Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,21.500000,0.000000,755,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX U.S. Premier,38.250000,,0,Preferred Stock,USA,Michigan
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,39.000000,,0,Common Stock,USA,Maryland
STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,20.100000,,20,Common Stock,USA,Michigan
PSBP,PSB HOLDING CORP,OTCQX U.S. Premier,29.760000,0.033600,8044,Common Stock,USA,Maryland
MNBP,MARS BANCORP INC,OTCQX U.S. Premier,20.750000,,0,Common Stock,USA,Pennsylvania
MNAT,MARQUETTE NATL CORP,OTCQX U.S. Premier,36.930000,,0,Common Stock,USA,Illinois
KISB,KISH BANCORP INC,OTCQX U.S. Premier,36.150000,,0,Common Stock,USA,Pennsylvania
KCLI,KANSAS CITY LIFE INS NEW,OTCQX U.S. Premier,41.510000,,0,Common Stock,USA,Missouri
FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,260.000000,-1.515200,9,Common Stock,USA,Alaska
FBSI,FIRST BANCSHS INC MO,OTCQX U.S. Premier,17.200000,0.000000,20983,Common Stock,USA,Missouri
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,28.400000,,0,Common Stock,USA,Michigan
ENBP,ENB FINANCIAL CORP PA,OTCQX U.S. Premier,22.000000,,0,Common Stock,USA,Pennsylvania
DIMC,DIMECO INC,OTCQX U.S. Premier,45.000000,,0,Common Stock,USA,Pennsylvania
CNIG,CORNING NATURAL GAS HLDG,OTCQX U.S. Premier,24.350000,0.391700,101,Common Stock,USA,New York
CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,29.600000,,0,Common Stock,USA,Indiana
CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,12.990000,,1,Common Stock,USA,Rhode Island
BHWB,BLACKHAWK BANCORP INC,OTCQX U.S. Premier,34.400000,,0,Common Stock,USA,Wisconsin
CFNB,CALIFORNIA FIRST LEASING,OTCQX U.S. Premier,18.010000,-1.044000,201,Common Stock,USA,California
BNCC,BNCCORP INC,OTCQX U.S. Premier,37.500000,-0.780500,4937,Common Stock,USA,North Dakota
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,18.300000,0.274000,230,Common Stock,USA,Pennsylvania
DBIN,DACOTAH BANKS INC,OTCQX U.S. Premier,37.030000,-2.552600,20,Common Stock,USA,South Dakota
HLAN,HEARTLAND BANC CORP,OTCQX U.S. Premier,92.000000,-0.054300,205,Common Stock,USA,Ohio
